dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
MT-Bench-controlled,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,80,119.03081488852808,122.18220334121418,2.313806104523399,2.358659260400443,2.71010744004521,3.692001486724183,123.625,19.791871762223916,3.8358122541417288,10.473628997802734,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,80,129.57261630215905,133.29925491015518,2.51913089174544,2.573512570272825,3.1157136847502045,4.097170557898493,111.5125,19.77770483340464,3.5193892183877025,10.47569990158081,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,80,134.05180996588868,138.077450832396,2.605604850298156,2.664901062838982,3.3588974446071687,4.336668449508743,104.425,19.745331422927848,3.3750614031708808,10.47965145111084,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,80,130.69437099520493,134.59729675920616,2.5404724616366297,2.597693858179117,3.5852159638901995,4.565369913077019,98.7,19.763461762704537,3.4564533327210176,10.494587421417236,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,80,123.68348013864602,126.99229777753257,2.404574518316617,2.4519984365425103,2.870635837649492,3.8492506215738302,118.7875,19.842030604195315,3.698073188537576,10.474637985229492,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,80,136.6403324422128,140.66027503001538,2.656283587667764,2.715654761958966,3.360265215516121,4.338374445261098,104.8,19.827635270848987,3.3210477971085313,10.47569990158081,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,80,144.61466443414642,149.0469759969904,2.810800374576877,2.8770995059493005,3.6785864679238274,4.656486041966117,96.7875,19.877465674790074,3.1107629560078442,10.479649066925049,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,80,148.82657093724214,153.28100083196614,2.8926196736666916,2.9593640412412663,3.9246508742781074,4.900524417589523,91.325,19.850984576881576,2.989869589954136,10.494583129882812,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,80,135.917708143568,140.19005521446445,2.6421019085603867,2.7056392110109075,3.372034926777977,4.3517936550721386,104.2,19.79478972709027,3.3288107074753497,10.479649066925049,10.669921875,1.0
MT-Bench-controlled,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,80,139.9781953832095,144.42957465629462,2.7207136551506332,2.787293446750816,3.584425283452556,4.563955746883591,98.6375,19.813586433383534,3.2087448311875355,10.494583129882812,10.669921875,1.0
MT-Bench-native,original,Sequential-Baseline,baseline,,80,52.078850281473265,52.45618236754012,nan,nan,0.0,1.0,421.8875,19.92982962096903,8.116843389733912,8.733861923217773,9.041015625,1.0
MT-Bench-native,original,Raw-DFlash,dflash,,80,152.97800419661522,158.01449164473527,2.9368868585123886,3.0116389612764864,3.26812823922369,4.268128239223691,124.8625,19.99717565189106,3.394129696474677,8.848502159118652,9.041015625,1.0
MT-Bench-native,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,80,177.95481406965365,184.45547613882962,3.416548901094559,3.515714964502281,4.066380569775017,5.066380569775017,99.1125,19.964467802083163,2.7518469126666787,8.85008430480957,9.041015625,1.0
MT-Bench-native,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,80,191.0150166975737,198.5309852741524,3.667393915500959,3.7839345421666137,4.4843251057867155,5.4843251057867155,92.275,20.136144264764276,2.574753350421088,8.849942207336426,9.041015625,1.0
MT-Bench-native,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,80,204.2375724982251,212.9098018690256,3.9213156170687866,4.057627447810954,4.86734059387741,5.86734059387741,86.15,20.038233798004512,2.4028514379749444,8.868846416473389,9.041015625,1.0
MT-Bench-native,dflash2,Sequential-Baseline,baseline,,80,51.903645813919226,52.269421754437055,nan,nan,0.0,1.0,421.8875,19.541066939852197,8.141464518700014,10.365653038024902,10.66796875,1.0
MT-Bench-native,dflash2,Raw-DFlash2,dflash2,,80,119.17241260792703,122.27314313150984,2.3008132840693323,2.3440285892153954,2.528511759984308,3.512252165938667,134.75,19.699809572951683,3.9631561693624464,10.471240520477295,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,80,120.34446781688794,123.54965034509621,2.322808763000073,2.367890593527779,2.7212828983581123,3.7030581003718113,123.6625,19.820569091628695,3.8078313540631528,10.473628997802734,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,80,130.456699236578,134.22109711256715,2.5179522846573237,2.5722166052982134,3.1093037802589523,4.091088773034288,111.7125,19.76386577334779,3.496124354670428,10.47569990158081,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,80,135.34547569483303,139.43456474191572,2.6121916951645856,2.671784310107223,3.364319334362431,4.342553435561359,104.0875,19.690635633241982,3.335269083707317,10.47965145111084,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,80,132.23528475221934,136.1856606628756,2.5518248002795647,2.608997336833601,3.590521012769087,4.570535720880363,98.0125,19.71334350607018,3.398469797274841,10.494587421417236,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,80,124.85414361381507,128.2114258479236,2.409990741979887,2.4575442186635366,2.873154738248124,3.852118216863487,119.1125,19.71706516442282,3.6786172716493937,10.474637985229492,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,80,137.66055190296532,141.73445312263436,2.6573116458088015,2.7168382859899807,3.3596889858350165,4.337625835269611,104.7875,19.811216764613466,3.292939962395758,10.47569990158081,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,80,146.02610187572964,150.5254145227037,2.8183556537044594,2.884981782727222,3.6950678303266082,4.672847494045017,96.2375,19.83632801899755,3.0738093293872533,10.479649066925049,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,80,150.9385826403675,155.71639418189648,2.913161338728428,2.9844212803770596,3.927792658175399,4.903857617966342,91.4625,19.83329735638411,2.9677836699916647,10.494583129882812,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,80,136.7142501455325,141.0248071216348,2.638619576791043,2.701946788676169,3.3680815818694945,4.348552763507246,104.45,19.734499716741993,3.313533204924746,10.479649066925049,10.66796875,1.0
MT-Bench-native,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,80,140.56334584579477,145.07637810320225,2.7126067341499236,2.7794501785394528,3.5712500382797634,4.551290678111597,98.3375,19.8731010956332,3.1767488034041285,10.494583129882812,10.66796875,1.0
